"";"age";"1980";"1981";"1982";"1983";"1984";"1985";"1986";"1987";"1988";"1989";"1990";"1991";"1992";"1993";"1994";"1995";"1996";"1997";"1998";"1999";"2000";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014"
"1";1;96834;95171;93363;92118;92577;96185;100107;102926;108310;113683;120543;124395;123444;119715;114628;107455;98306;92842;89165;88752;89259;91656;93519;97497;100535;101156;104271;106758;109010;110416;114779;113644;112783;114125;114744
"2";2;95313;97504;95716;93758;92569;93185;96902;100921;103756;109155;114551;121239;124972;123888;119928;114824;107704;98557;93226;89719;89473;90106;92590;94520;98505;101574;102353;105541;108051;110297;111643;116066;114944;114130;115591
"3";3;95074;95364;97462;95702;93878;92817;93582;97391;101443;104409;109895;115149;121553;125292;124412;120172;114808;107698;98663;93487;90072;89957;90651;93126;95048;99033;102286;103243;106526;109071;111188;112478;116996;115988;115419
"4";4;98163;95124;95361;97441;95749;94045;93109;93962;97857;102151;105178;110486;115598;122057;126274;125052;120120;114751;107757;98846;93844;90531;90465;91137;93514;95391;99599;103084;104125;107439;109756;111816;113283;117977;117148
"5";5;101890;98177;95048;95304;97511;95925;94316;93512;94466;98570;102953;105817;110940;116131;123096;126944;124984;120040;114799;107923;99145;94270;91020;90937;91557;93859;95913;100345;103904;104988;108163;110374;112536;114216;119125
"6";6;109029;101864;98128;95002;95313;97608;96134;94692;94034;95171;99316;103511;106220;111461;117178;123836;126983;124976;120106;114958;108229;99567;94718;91484;91366;91904;94335;96567;101090;104705;105648;108704;111042;113566;115417
"7";7;111308;108956;101750;98029;94987;95388;97796;96463;95157;94690;95891;99923;103986;106771;112502;117933;123924;127020;125092;120280;115205;108596;100024;95158;91866;91673;92461;95168;97357;101878;105360;106162;109342;112039;114839
"8";8;112210;111161;108767;101588;97999;95028;95490;98025;96852;95778;95396;96495;100354;104489;107779;113227;118037;124040;127204;125290;120561;115588;109002;100436;95536;92162;92128;93137;95942;98168;102570;105922;106827;110378;113285
"9";9;113272;112158;111062;108685;101621;98096;95175;95749;98424;97454;96438;95936;96953;100923;105500;108498;113354;118159;124234;127450;125594;120931;116014;109430;100790;95875;92707;92862;93912;96737;98776;103037;106517;107867;111674
"10";10;112409;113192;112071;110952;108652;101687;98245;95409;96090;98977;98096;96995;96384;97512;101908;106181;108612;113488;118391;124494;127779;125985;121344;116455;109852;101122;96403;93461;93669;94765;97475;99375;103723;107597;109138
"11";11;108050;112345;113063;111964;110973;108759;101812;98457;95781;96646;99574;98561;97398;96925;98409;102555;106340;108788;113725;118634;124799;128156;126397;121791;116875;110196;101668;97184;94237;94432;95405;98020;100028;104766;108860
"12";12;111115;108018;112265;113011;111991;111058;108911;102062;98773;96253;97194;100072;98963;97881;97812;99045;102719;106525;109044;113990;118966;125266;128666;126827;122136;117202;110792;102494;97999;95043;95146;96023;98759;101152;106059
"13";13;117416;111094;107987;112233;113025;112066;111191;109122;102362;99222;96740;97634;100460;99428;98698;98395;99194;102894;106783;109307;114340;119411;125737;129128;127231;122491;117756;111563;103290;98841;95749;95721;96758;99816;102349
"14";14;123825;117401;111068;107978;112264;113116;112220;111400;109387;102741;99704;97178;97991;100942;100214;99232;98512;99342;103128;107041;109652;114821;119915;126208;129529;127572;123061;118480;112298;104153;99597;96369;96459;97869;101143
"15";15;122632;123845;117351;111019;108031;112368;113256;112487;111722;109823;103179;100018;97501;98433;101685;100749;99359;98665;99583;103403;107352;110066;115295;120361;126597;129878;128133;123781;119281;113187;104913;100260;97148;97598;99217
"16";16;124776;122650;123867;117388;111095;108143;112515;113498;112809;112146;110260;103556;100361;97900;99132;102214;100898;99561;98961;99873;103736;107766;110528;115767;120784;126977;130427;128853;124593;120213;114037;105746;101260;98466;99123
"17";17;118715;124874;122705;123888;117428;111178;108268;112717;113772;113241;112620;110638;103889;100795;98592;99636;102376;101068;99813;99241;100237;104207;108275;111025;116218;121170;127571;131324;129839;125752;121365;115201;107127;102927;100381
"18";18;111465;118893;124965;122781;123995;117558;111327;108457;113009;114222;113695;113004;111078;104404;101524;99139;99831;102569;101348;100168;99624;100673;104733;108806;111484;116626;121782;128525;132442;131034;126937;122597;116571;108780;104880
"19";19;108373;111885;119134;125143;122944;124222;117851;111702;108952;113724;114961;114235;113509;111722;105248;102160;99431;100127;102959;101745;100601;100154;101249;105355;109394;111970;117283;122758;129597;133578;132188;127990;123676;117930;110437
"20";20;106548;109087;112290;119425;125491;123368;124760;118463;112394;109972;114811;115714;114803;114157;112711;106070;102561;99756;100350;103136;102019;100995;100622;101760;105889;109888;112663;118235;123681;130574;134549;133004;128789;124712;119296
"21";21;107120;107132;109384;112532;119801;126012;123913;125361;119223;113552;111136;115514;116241;115528;115093;113421;106432;102857;100028;100698;103665;102653;101634;101332;102439;106460;110730;113736;119239;124749;131607;135385;133874;129893;126144
"22";22;109727;107849;107469;109604;112934;120389;126700;124635;126239;120559;114863;111933;116126;116985;116461;115745;113747;106703;103106;100343;101193;104293;103352;102376;102071;103143;107536;112064;114867;120471;126009;132596;136342;135010;131322
"23";23;111463;110327;108096;107674;109982;113521;121123;127474;125548;127696;122016;115821;112577;116885;118039;117249;116112;113987;106928;103497;100985;101977;105185;104295;103353;103128;104621;109319;113831;116872;122544;127626;134064;137965;136847
"24";24;113618;112020;110587;108313;108039;110574;114260;121927;128458;127007;129172;123009;116617;113471;117996;118854;117689;116420;114307;107417;104257;101957;103048;106359;105555;104728;104971;106894;111610;116340;119550;124684;129475;136088;140182
"25";25;114262;114106;112226;110706;108607;108575;111279;115112;122975;130028;128584;130240;123830;117540;114565;118850;119320;118082;116851;114850;108220;105339;103181;104296;107591;106914;106611;107343;109350;114288;119147;121770;126585;131572;138550
"26";26;113007;114564;114174;112271;110961;109097;109181;112097;116152;124418;131600;129704;131035;124662;118697;115429;119276;119693;118487;117388;115662;109216;106414;104381;105603;108970;108676;108810;109631;111832;116944;121254;123605;128724;133984
"27";27;115103;113229;114684;114203;112401;111315;109639;109876;112971;117435;125846;132675;130426;131830;125761;119537;115798;119560;120048;119009;118142;116665;110331;107453;105447;106881;110720;110756;110866;111923;114371;119075;122989;125488;131043
"28";28;117819;115258;113238;114671;114333;112701;111720;110224;110715;114222;118795;126795;133366;131184;132858;126535;119899;116048;119827;120430;119632;119001;117606;111278;108422;106502;108254;112455;112622;112970;114137;116139;120552;124738;127613
"29";29;116637;117893;115211;113128;114689;114572;113063;112198;110976;111878;115460;119751;127412;134011;132102;133483;126726;120120;116383;120261;121018;120401;119880;118506;112154;109374;107816;109937;114276;114426;114851;115810;117517;122045;126643
"30";30;120112;116594;117759;115114;113138;114858;114806;113476;112867;112053;113023;116266;120372;128102;134993;132716;133578;126811;120380;116740;120747;121731;121206;120643;119234;112975;110587;109350;111553;116146;116183;116251;117147;119080;123977
"31";31;125997;119997;116446;117681;115108;113253;115066;115158;114056;113796;113093;113781;116758;120973;129057;135588;132728;133605;127020;120687;117239;121506;122542;122029;121362;119993;114070;111967;110843;113179;117782;117582;117546;118515;120729
"32";32;131725;125793;119750;116274;117591;115149;113418;115366;115694;114892;114676;113767;114262;117302;121802;129561;135605;132742;133734;127262;121126;117913;122244;123231;122643;121971;120885;115318;113437;112412;114600;118970;118700;118750;119977
"33";33;134348;131470;125565;119588;116170;117570;115193;113633;115810;116440;115692;115219;114192;114794;118160;122341;129557;135584;132879;133958;127573;121674;118536;122868;123780;123127;122806;122126;116635;114845;113693;115667;120066;119850;120144
"34";34;137814;134075;131172;125313;119406;116082;117581;115376;113966;116376;117100;116179;115534;114660;115600;118634;122373;129581;135654;133063;134307;128057;122276;119150;123321;124253;123944;123909;123331;117856;115915;114590;116640;121228;121230
"35";35;138517;137507;133779;130898;125109;119305;116038;117678;115700;114513;116993;117578;116540;116002;115419;116025;118595;122311;129611;135758;133279;134681;128530;122808;119585;123725;125014;125010;125002;124511;118881;116831;115556;117680;122561
"36";36;137378;138187;137235;133518;130688;124966;119213;116086;117879;116122;115013;117377;117832;116873;116731;115854;115932;118562;122350;129669;135981;133664;135126;128959;123147;119957;124376;125938;126038;126089;125507;119695;117621;116497;118895
"37";37;132066;137139;137918;136978;133344;130572;124855;119205;116241;118272;116648;115449;117614;118094;117505;117087;115702;115840;118555;122396;129847;136290;134027;135505;129281;123438;120602;125315;126888;127021;126876;126199;120440;118498;117608
"38";38;123073;131838;136899;137663;136744;133175;130412;124832;119343;116519;118624;116901;115590;117892;118684;117746;116929;115604;115743;118533;122549;130142;136670;134396;135846;129567;123908;121357;126085;127675;127727;127523;126938;121248;119526
"39";39;111672;122812;131544;136618;137484;136606;133018;130333;124935;119638;116833;118842;117004;115786;118367;118925;117599;116753;115542;115735;118602;122770;130442;136949;134510;135938;129954;124564;122106;126857;128308;128312;128209;127703;122142
"40";40;99390;111492;122579;131289;136411;137275;136394;132913;130364;125148;119881;116927;118840;117126;116176;118538;118751;117436;116697;115537;115796;118773;122975;130586;137036;134620;136301;130575;125264;122864;127482;128778;128881;128928;128639
"41";41;100821;99150;111277;122345;131034;136203;137114;136250;132906;130488;125324;119984;116917;118926;117489;116330;118364;118598;117293;116574;115568;115975;118957;123188;130759;137174;134939;136798;131100;125894;123469;127991;129288;129459;129698
"42";42;98947;100593;98938;111065;122151;130856;136008;136968;136236;132998;130635;125379;119916;116948;119188;117594;116194;118202;118491;117220;116585;115764;116208;119147;123309;130802;137393;135410;137300;131673;126395;123878;128489;129888;130251
"43";43;94501;98699;100371;98730;110859;121940;130636;135832;136895;136278;133061;130590;125272;119862;117116;119245;117396;115985;118053;118394;117225;116693;115921;116299;119134;123323;130994;137764;135831;137780;132109;126788;124307;128997;130574
"44";44;91286;94254;98449;100124;98500;110651;121713;130424;135737;136913;136318;132984;130409;125196;119967;117082;119036;117195;115841;117946;118342;117241;116779;116013;116368;119192;123589;131374;138105;136236;138125;132411;127147;124808;129690
"45";45;89028;91064;94056;98235;99910;98302;110436;121530;130287;135688;136868;136167;132774;130293;125320;119964;116861;118793;117032;115723;117892;118383;117324;116862;116052;116387;119370;123914;131673;138458;136499;138326;132744;127575;125367
"46";46;86606;88798;90842;93815;97994;99702;98096;110209;121352;130192;135590;136678;135900;132554;130288;125249;119733;116643;118610;116854;115641;117869;118393;117370;116870;116054;116514;119650;124208;131946;138661;136686;138584;133102;128105
"47";47;85105;86321;88514;90580;93584;97780;99452;97879;110069;121267;130089;135374;136365;135649;132488;130122;124959;119460;116405;118393;116744;115634;117906;118423;117331;116778;116148;116785;119895;124475;132166;138785;136850;138840;133517
"48";48;86052;84796;86041;88229;90299;93327;97507;99224;97714;109942;121113;129822;135063;136085;135539;132324;129834;124625;119187;116215;118253;116653;115599;117857;118328;117252;116823;116309;116956;120091;124596;132198;138885;137065;139157
"49";49;88179;85760;84525;85779;87980;90056;93037;97210;99006;97589;109781;120837;129498;134730;135864;135279;131964;129471;124290;118896;116010;118107;116567;115490;117697;118180;117232;116936;116455;117110;120172;124615;132237;139033;137333
"50";50;90705;87860;85448;84234;85505;87727;89823;92808;96991;98873;97450;109528;120512;129152;134478;135585;134926;131608;129128;123988;118676;115843;117962;116443;115332;117525;118117;117279;116964;116528;117202;120245;124691;132333;139239
"51";51;89466;90340;87529;85124;83914;85180;87413;89518;92545;96786;98684;97215;109186;120143;128837;134122;135133;134484;131228;128771;123713;118470;115673;117789;116219;115115;117419;118103;117255;116984;116525;117125;120180;124714;132520
"52";52;90787;89063;89963;87182;84809;83595;84851;87121;89266;92322;96544;98406;96938;108872;119850;128505;133669;134645;134038;130843;128429;123438;118242;115451;117532;115977;114966;117349;118039;117226;116947;116473;117099;120198;124794
"53";53;90800;90367;88660;89528;86771;84428;83265;84559;86837;89020;92062;96230;98074;96617;108562;119496;128051;133161;134148;133597;130458;128108;123159;117990;115197;117260;115747;114784;117196;117954;117097;116777;116397;117069;120205
"54";54;92899;90328;89922;88209;89072;86371;84047;82915;84255;86569;88714;91726;95851;97714;96368;108226;118991;127471;132636;133693;133189;130097;127767;122843;117691;114894;116961;115538;114588;117003;117763;116925;116619;116283;117084
"55";55;94765;92400;89842;89441;87757;88645;85941;83628;82551;83966;86273;88383;91348;95475;97463;96109;107756;118432;126916;132134;133221;132748;129707;127400;122464;117285;114499;116670;115296;114380;116781;117510;116733;116452;116194
"56";56;96636;94176;91848;89298;88894;87237;88137;85483;83209;82185;83622;85905;87978;90957;95136;97144;95703;107236;117874;126316;131574;132749;132316;129277;126922;121996;116907;114231;116408;115063;114157;116536;117258;116516;116325
"57";57;98647;95983;93534;91241;88735;88329;86704;87641;85052;82819;81794;83167;85421;87541;90641;94790;96685;95207;106682;117291;125726;131022;132217;131804;128769;126403;121551;116545;113872;116095;114737;113782;116189;117015;116377
"58";58;98758;97902;95291;92892;90636;88115;87732;86152;87132;84555;82354;81323;82695;84978;87197;90272;94310;96154;94688;106100;116696;125130;130438;131645;131195;128132;125843;121109;116129;113479;115721;114376;113435;115849;116714
"59";59;104782;97954;97157;94589;92215;89939;87459;87099;85587;86594;84021;81805;80797;82216;84606;86812;89812;93759;95592;94152;105536;116081;124494;129809;131006;130556;127535;125295;120625;115666;113011;115282;114005;113114;115544
"60";60;109188;103816;97083;96306;93786;91416;89158;86771;86466;85003;85988;83397;81193;80249;81798;84194;86317;89254;93164;95007;93597;104948;115413;123811;129125;130314;129890;126907;124706;120069;115121;112504;114833;113571;112671
"61";61;106999;108088;102817;96174;95423;92949;90584;88371;86064;85793;84338;85317;82778;80641;79831;81385;83668;85677;88602;92521;94364;93012;104294;114721;123066;128315;129525;129167;126232;124118;119481;114519;111985;114334;113087
"62";62;90287;105825;106927;101741;95204;94478;92046;89711;87540;85302;85078;83647;84625;82138;80152;79375;80836;83023;84990;87928;91846;93713;92393;103605;113943;122198;127451;128760;128440;125584;123484;118832;113925;111389;113752
"63";63;91802;89195;104587;105698;100591;94127;93481;91105;88766;86675;84490;84244;82864;83891;81529;79597;78716;80130;82298;84262;87231;91168;93065;91709;102816;113100;121302;126585;127927;127652;124833;122739;118184;113289;110752
"64";64;91944;90576;88034;103244;104391;99352;92989;92403;90087;87829;85803;83608;83317;82001;83148;80874;78906;77933;79322;81529;83515;86499;90459;92349;90978;101990;112204;120375;125675;127057;126784;123975;121903;117392;112554
"65";65;90186;90586;89275;86815;101832;102967;98016;91770;91206;88985;86828;84812;82634;82402;81231;82410;80078;78049;77040;78434;80707;82728;85741;89659;91528;90153;101131;111268;119359;124693;126071;125785;123082;121019;116565
"66";66;91095;88738;89135;87841;85436;100244;101380;96588;90470;89966;87813;85699;83746;81640;81450;80357;81474;79085;77060;76088;77533;79808;81864;84838;88703;90568;89216;100102;110219;118271;123577;124946;124726;122048;120035
"67";67;90930;89505;87215;87659;86383;84030;98562;99712;95088;89127;88676;86572;84446;82560;80620;80514;79370;80384;77997;76055;75145;76622;78885;80943;83865;87668;89550;88217;99042;109127;117129;122365;123738;123538;120915
"68";68;89980;89222;87810;85605;86098;84795;82444;96828;98030;93520;87709;87257;85187;83179;81421;79562;79379;78216;79203;76879;75008;74153;75605;77865;79924;82796;86621;88556;87222;97966;107986;115886;121100;122498;122302
"69";69;88181;88047;87321;85967;83892;84390;83119;80864;94980;96203;91872;86183;85772;83717;81862;80247;78331;78106;76968;77955;75751;73944;73075;74521;76775;78845;81727;85548;87464;86219;96848;106761;114581;119729;121114
"70";70;85444;86033;85956;85331;84081;82066;82535;81354;79186;93040;94377;90134;84528;84154;82233;80512;78906;76983;76740;75624;76634;74523;72758;71909;73349;75610;77742;80650;84356;86295;85134;95598;105370;113124;118304
"71";71;83545;83213;83787;83810;83262;82084;80139;80619;79487;77397;91024;92343;88204;82782;82489;80661;78986;77404;75483;75260;74227;75286;73196;71438;70659;72104;74380;76532;79423;83109;85015;83881;94277;103931;111606
"72";72;80642;81096;80874;81541;81597;81046;79894;78040;78541;77524;75517;88828;90204;86218;80979;80774;78943;77296;75766;73898;73717;72746;73788;71739;70034;69338;70811;73139;75289;78154;81814;83679;82589;92850;102364
"73";73;76229;77998;78529;78384;79075;79164;78641;77570;75838;76439;75452;73520;86584;87947;84091;79100;78874;77008;75417;73967;72188;72077;71168;72215;70221;68598;67962;69439;71799;73925;76788;80389;82245;81231;91349
"74";74;71832;73483;75258;75887;75812;76468;76595;76143;75129;73511;74161;73229;71368;84091;85483;81888;77042;76796;75002;73454;72092;70427;70338;69459;70536;68638;67130;66501;68006;70348;72437;75301;78822;80680;79795
"75";75;66943;68997;70638;72420;73119;73089;73707;73842;73431;72548;71091;71728;70814;69090;81533;82939;79438;74722;74561;72830;71431;70165;68539;68478;67644;68724;66958;65567;64989;66445;68769;70858;73669;77145;79040
"76";76;62402;64008;66046;67700;69477;70148;70123;70798;71009;70642;69850;68476;69166;68345;66736;78816;80169;76795;72306;72153;70511;69278;68063;66563;66571;65747;66830;65188;63895;63316;64782;67113;69162;71899;75343
"77";77;58048;59404;60997;62988;64598;66314;67053;67092;67802;68045;67753;66986;65773;66515;65717;64273;75937;77242;74003;69708;69624;68180;67018;65841;64495;64574;63815;64861;63318;62119;61578;62986;65283;67320;70030
"78";78;54195;54937;56321;57873;59783;61301;63036;63803;63827;64583;64920;64664;63960;62876;63663;62978;61578;72856;74132;71052;66986;66999;65675;64578;63484;62240;62376;61710;62782;61333;60208;59669;61049;63341;65341
"79";79;50491;50964;51756;53144;54674;56430;57892;59682;60461;60462;61230;61566;61354;60774;59856;60726;60058;58831;69642;70887;68014;64183;64190;62973;62055;61049;59892;60021;59418;60537;59165;58104;57589;58986;61307
"80";80;45878;47159;47710;48525;49870;51250;53002;54430;56171;56986;57026;57737;58125;57945;57500;56733;57589;57089;55927;66201;67473;64811;61182;61254;60215;59349;58433;57389;57579;57084;58137;56822;55875;55449;56884
"81";81;40624;42574;43798;44384;45280;46502;47782;49436;50754;52538;53462;53459;54166;54561;54456;54092;53322;54241;53845;52713;62474;63780;61266;57916;58183;57262;56468;55648;54719;54971;54542;55606;54337;53442;53162
"82";82;35840;37299;39186;40426;41054;41878;43055;44281;45765;47099;48833;49689;49786;50377;50830;50969;50594;49885;50850;50472;49429;58718;60014;57695;54642;54989;54146;53418;52681;51872;52189;51862;52896;51660;50918
"83";83;31790;32589;34055;35832;37040;37580;38327;39528;40677;42108;43423;44964;45854;45981;46600;47170;47256;46984;46437;47312;46983;46119;54841;56034;54022;51269;51665;50861;50235;49633;48952;49246;48956;50016;48919
"84";84;27938;28624;29426;30805;32514;33596;34102;34891;35991;37100;38493;39641;41107;41973;42169;42853;43393;43550;43353;42811;43650;43476;42671;50757;52066;50235;47744;48170;47400;46933;46481;45842;46099;45900;47017
"85";85;24306;24810;25505;26340;27665;29186;30176;30743;31433;32417;33493;34788;35848;37207;38020;38325;39008;39572;39737;39641;39152;39971;39815;39160;46704;48002;46329;44083;44568;43836;43544;43145;42554;42823;42725
"86";86;20479;21277;21827;22526;23334;24504;25841;26835;27350;27993;28963;29957;31163;32113;33404;34161;34379;35148;35668;35869;35795;35498;36187;36100;35639;42577;43777;42252;40297;40771;40245;40006;39585;39127;39496
"87";87;17224;17686;18482;19049;19714;20384;21420;22672;23542;23994;24664;25524;26510;27576;28479;29713;30301;30647;31382;31806;31961;31963;31690;32399;32391;32058;38420;39490;38141;36420;36973;36536;36297;35998;35683
"88";88;14225;14728;15178;15986;16498;17039;17554;18508;19593;20396;20910;21528;22343;23125;24083;25029;26015;26605;26963;27580;27915;28166;28123;27899;28708;28729;28537;34213;35169;34029;32605;33088;32720;32574;32458
"89";89;11526;11962;12433;12880;13582;14046;14464;14932;15742;16679;17474;17933;18476;19169;19898;20845;21590;22500;23053;23341;23907;24234;24392;24358;24322;25082;25141;24979;30011;30868;29979;28719;29147;28919;28955
"90";90;9177;9508;9920;10323;10736;11321;11684;12095;12499;13178;13995;14657;15122;15600;16219;16958;17694;18360;19186;19570;19845;20406;20678;20825;20852;20897;21571;21592;21520;25911;26755;26012;24843;25254;25265
"91";91;7006;7438;7772;8132;8445;8775;9286;9625;9972;10274;10927;11587;12119;12500;12938;13578;14141;14770;15391;16001;16345;16621;17019;17285;17530;17584;17664;18247;18234;18198;22069;22809;22112;21120;21628
"92";92;5374;5613;5970;6233;6548;6748;7012;7485;7774;7997;8285;8801;9335;9796;10178;10625;11099;11571;12154;12641;13118;13401;13552;13946;14322;14513;14582;14643;15127;15161;15170;18378;19047;18437;17731
"93";93;4130;4181;4420;4680;4887;5142;5309;5526;5892;6082;6306;6533;6937;7367;7733;8129;8445;8851;9300;9724;10075;10488;10697;10840;11291;11608;11755;11784;11862;12270;12391;12343;14997;15508;15091
"94";94;3086;3099;3179;3403;3608;3747;3969;4118;4238;4535;4763;4886;5045;5367;5718;6046;6321;6591;6895;7233;7589;7862;8162;8344;8556;8909;9174;9256;9278;9341;9780;9854;9791;11989;12427
"95";95;2192;2294;2301;2383;2580;2721;2830;3010;3080;3178;3435;3591;3688;3782;4048;4390;4590;4820;5049;5228;5505;5800;5938;6184;6421;6582;6885;7069;7110;7118;7190;7567;7597;7566;9383
"96";96;1521;1577;1680;1702;1775;1899;1991;2092;2203;2279;2344;2518;2616;2693;2773;3013;3232;3381;3613;3779;3904;4126;4309;4405;4634;4812;4923;5147;5304;5356;5370;5412;5676;5707;5762
"97";97;1037;1076;1126;1202;1210;1253;1352;1432;1480;1572;1625;1672;1781;1853;1920;2000;2161;2302;2442;2616;2715;2805;2949;3072;3194;3399;3517;3546;3701;3859;3957;3946;3936;4131;4213
"98";98;637;705;750;780;828;843;883;949;990;1019;1085;1129;1155;1207;1266;1356;1400;1480;1609;1718;1829;1898;1927;2025;2159;2264;2413;2468;2510;2629;2768;2846;2790;2766;2957
"99";99;369;420;469;511;534;578;576;590;622;655;682;728;766;784;821;870;914;937;998;1088;1159;1236;1276;1292;1386;1469;1558;1642;1674;1710;1821;1915;1944;1888;1892
"100";100;216;240;280;315;342;356;377;392;394;403;430;450;482;496;510;558;572;598;611;658;713;765;818;838;856;920;964;1020;1088;1095;1130;1223;1277;1286;1254
"101";101;142;140;159;184;205;220;228;244;243;242;250;266;277;297;299;332;346;363;376;380;414;452;482;523;539;550;598;605;640;699;702;731;794;805;827
"102";102;82;90;91;96;111;121;127;143;146;146;142;146;161;166;174;187;198;212;229;234;230;252;270;284;312;323;335;371;365;399;438;422;448;481;496
"103";103;42;47;56;50;54;64;68;79;88;92;94;76;76;96;98;111;108;114;133;137;128;138;145;153;167;185;186;195;215;215;248;257;236;261;290
"104";104;25;26;26;33;27;27;39;43;44;46;54;59;42;43;56;58;64;62;66;77;74;73;79;80;90;100;111;110;110;119;118;148;146;135;153
"105";105;10;14;16;16;16;14;16;26;24;20;23;30;34;22;22;30;34;38;35;38;44;41;41;46;44;54;59;66;65;60;62;64;77;76;77
"106";106;6;4;5;8;9;10;8;9;14;13;12;12;17;21;15;12;16;20;20;15;18;23;21;21;24;24;32;33;36;33;31;34;37;39;40
"107";107;2;3;2;2;2;5;6;4;3;6;8;8;8;9;13;10;5;9;12;10;8;10;13;8;13;12;13;17;16;15;14;15;19;19;21
"108";108;0;1;1;1;1;2;2;2;2;2;2;3;5;4;4;8;6;2;6;6;4;4;6;7;2;5;7;8;7;7;8;7;8;10;10
"109";109;1;0;0;1;0;0;0;0;0;1;1;1;1;3;3;2;4;3;1;3;4;4;2;3;2;0;2;4;4;3;2;3;3;4;5
"110";110;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;1;2;2;2;0;2;2;0;1;2;2;2;1;1;1;2
"111";111;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;0;1;2;1;1;1;1;0;1;2;2;1;0;2;2;2;2;2
